collateralAmount,collateralReserve,pool,principalAmount,principalReserve,timestamp,user,type,priceUSDTCollateral,reservePriceETHPrincipal,reservePriceUSDPrincipal,reservePriceETHCollateral,reservePriceUSDCollateral,amountUSDPincipal,amountUSDCollateral
1867880166463443339,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,429829,GUSD,1621651487,0x274008f15dc24406d8656bafa1c5994e3da1b094,liquidation,413230000000000,444036031901818.0,1.0745493596830287,,,461872.4767231965,
32438723795,USDC,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,20007750359072964000000,CRV,1610879363,0xf6f9e2eb2df8dee61f11a4e2937f9f1936bf46d6,liquidation,839510000000000,779000000000000.0,0.9279222403544926,839970000000000.0,1.000547938678515,1.8565636537644388e+22,32456498226.448944
36578005431437069360883,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,885601103300,USDC,1621428797,0xbfebe09d854272c3aeeb1e4411c2b02a83d0339e,liquidation,418469892157173,419037973287532.0,1.0013575197188753,1.116e+16,26.668585265408815,886803324260.7875,9.754836566868663e+23
7477650,WBTC,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,2286767899,USDC,1622301194,0x9fe5ab4ae5bd1296efdf69003490e5e1c4e25e3d,liquidation,423710000000000,427390944035239.0,1.0086874136443298,1.437722024e+19,33931.746335937314,2306633997.647188,253729722988.92166
59642370941,USDC,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,56278287822,USDT,1621433256,0xa0557234eb7b3c503388202d3768cfa2f1ae9dc2,liquidation,418859474726883,418859474726883.0,1.0,414995721809886.0,0.9907755389333944,56278287822.0,59092202212.3347
11754687848352101892,LINK,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,156969674466306166118,DAI,1626866182,0xdc6cea09616f277c8259fcaf6ddc02eba8e19ae1,liquidation,526980000000000,527648219500966.0,1.0012680168146153,7750715914191150.0,14.70779899463196,1.5716871465291412e+20,1.7288558611820557e+20
268457891672572797,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,464043745658216284496,DAI,1624662187,0x998e6aa4ce5b36d272c9fb3bc3300245eae2633c,liquidation,551690000000000,550970000000000.0,0.9986949192481285,,,4.634381310977314e+20,
50645123810835318534,UNI,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,721286396,USDC,1624691933,0xa524c031bad0695af9e64f8f463f07ace9b73930,liquidation,561680000000000,559549712831006.0,0.9962072938879897,8766000000000000.0,15.606751175046291,718550768.6773809,7.90405845545119e+20
731552588814546219,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1585934195105845030179,BUSD,1621851922,0x0bf66bed1971055c5df68946d5ad094d0a9901b7,liquidation,441164992387780,439310000000000.0,0.9957952411914192,,,1.579265724329144e+21,
972797380919218199,WETH,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,2252463348203900277007,SUSD,1621620164,0x82b8b659a4a98f69cb7899e1a07089ea3b90a894,liquidation,404520000000000,411315769844737.0,1.0167995892532804,,,2.2903038072617946e+21,
