borrowRateModeFrom,borrowRateModeTo,pool,reserve,stableBorrowRate,timestamp,user,variableBorrowRate,type
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,10.657499128341225,1624126490,0x0538146cff9325928f6394661fd6d0cc5b792edb,3.314998256682452,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,10.912217657335198,1619231562,0xdf2583eaef0ed1992e503f06e37392dc2e344f20,3.8244353146703975,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,10.99530323556751,1619632312,0x81d98b0d2174bb70186dc6cbe63a8d70fe8f2d59,3.9906064711350213,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,21.131826005834355,1608016471,0x69087ea14ab04a0b4cdfb3e16954cc0fcef06f17,19.131826005834355,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,5.988584931015989,1609021217,0x2afab81b50410596dcf6c290f1dc8344518e9970,3.9771698620319778,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,8.977515961672943,1611097940,0xbbe63e0b3aecbfbd0050a2176b773a5c0c20564e,3.9550319233458855,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,8.927272365521672,1614084806,0x47130244ea6b04f372f1796e7b50ed88b6598135,3.854544731043341,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,10.897868477725156,1619313221,0xdf268751c64f91ef7fd10a31b655783e7b905934,3.795736955450313,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,5.350669245514919,1609202386,0x72dbb36793cbfc871ec3bca152ac345147d9dd0d,2.7013384910298406,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDT,8.766970343537537,1612621479,0xba681f15a7bacb49ccf4a6577f2b522869db90d8,3.533940687075076,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,11.957906565234708,1622842107,0xb901c486c50b14197720b7a7019da38a9153c8da,3.915813130469417,swap
Stable,Variable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,11.912738974023366,1623112120,0x370a5275f69cb3c2e76cfe575cf7f846f906b34d,3.825477948046732,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,10.579443885616863,1626223089,0x42db216500de535075581a07fd0f427411adc9eb,3.1588877712337253,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,USDC,10.992208379340198,1619424557,0xa53d42a4017c7371cf86c4d67fa4abf0d181c649,3.984416758680397,swap
Variable,Stable,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,DAI,14.828165238372199,1609191371,0x403a5a6afd8c1f7857bc9f90386f6412da0cd104,12.828165238372199,swap
