date,LINK_deposited,WBTC_borrowed,WETH_deposited,WBTC_deposited,USDC_borrowed,UNI_deposited,YFI_deposited,ZRX_deposited,DAI_borrowed,USDT_borrowed,user
2021-02-01,390.8449726620695,3.879359981592538e-07,13.52848461285297,0.37190552496052065,22541.19368857485,142.15109754318607,0.03123116261303021,1741.62781680325,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-02-02,390.84510820488725,3.879461933250786e-07,13.528678935192826,0.37190627928528797,22546.70920617645,142.15128285066058,0.031231189042280255,1741.6304345759504,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-02-03,390.84523578863457,3.8795691614045487e-07,13.528912318929653,0.3719070886406396,22552.226073382637,142.15152518344544,0.03123120606919142,1741.633000224939,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-02-04,390.8453511696047,3.8796780984532723e-07,13.529206180048341,0.371907928427341,22557.74429052366,142.1518247524207,0.03123122940549978,1741.6347633720188,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-02-05,390.8454652792653,3.879808787343506e-07,13.529466292683043,0.3719091120502046,22563.263857929844,142.1520305424609,0.031231312189029015,1741.6364469485823,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-02-06,390.84558057505666,3.879956796728056e-07,13.529720742587134,0.3719105447659961,22568.784775931596,142.152244087332,0.03123137108792887,1741.6379464046872,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-02-07,390.84569780033377,3.8801158014972224e-07,13.529952324863626,0.37191214808530687,22574.307044859404,142.15249403704968,0.031231410909034595,1741.6400738281777,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-02-08,390.84581335181514,3.880234604231482e-07,13.53016592271497,0.37191327524034534,22579.830665043843,142.15274371062142,0.03123145063945831,1741.6422394102522,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-02-09,390.8459270894257,3.8802915968523e-07,13.530299079169543,0.37191376922450087,22585.35563681556,142.15305793199613,0.031231480761841554,1741.644658514534,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
2021-02-10,390.84603734601984,3.880352168207978e-07,13.530398263271202,0.37191429229435446,22590.881960505285,142.15340425225912,0.03123150046123654,1741.6469740742177,0.0,0.0,0x4110ea8b4d77ff4c4115cb8f4bbf396804807889
